id	species	location	iso2	iso3	country	state	intregion	region
EPI_ISL_426910	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_426911	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_413600	Human	Oceania / Australia / NSW / Sydney	AU	AUS	Australia	NSW	Australia and New Zealand	Oceania
EPI_ISL_429150	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_413601	Human	North America / USA / Washington	US	USA	USA	Washington	Northern America	North America
EPI_ISL_429152	Human	Europe / Sweden / Orebro lan	SE	SWE	Sweden	Orebro lan	Northern Europe	Europe
EPI_ISL_429151	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_429154	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_429153	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_429156	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_429155	Human	Europe / Sweden / Orebro lan	SE	SWE	Sweden	Orebro lan	Northern Europe	Europe
EPI_ISL_429158	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_429157	Human	Europe / Sweden / Orebro lan	SE	SWE	Sweden	Orebro lan	Northern Europe	Europe
EPI_ISL_429159	Human	Europe / Sweden / Ostergotland	SE	SWE	Sweden	Ostergotland	Northern Europe	Europe
EPI_ISL_417196	Human	North America / USA / Minnesota	US	USA	USA	Minnesota	Northern America	North America
EPI_ISL_417197	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_417194	Human	North America / USA / Minnesota	US	USA	USA	Minnesota	Northern America	North America
EPI_ISL_417195	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_417198	Human	North America / USA / Minnesota	US	USA	USA	Minnesota	Northern America	North America
EPI_ISL_417199	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_429161	Human	Europe / Sweden / Stockholm	SE	SWE	Sweden	Stockholm	Northern Europe	Europe
EPI_ISL_429160	Human	Europe / Sweden / Ostergotland	SE	SWE	Sweden	Ostergotland	Northern Europe	Europe
EPI_ISL_429163	Human	Europe / Sweden / Gavleborgs lan	SE	SWE	Sweden	Gavleborgs lan	Northern Europe	Europe
EPI_ISL_429162	Human	Europe / Sweden / Stockholm	SE	SWE	Sweden	Stockholm	Northern Europe	Europe
EPI_ISL_429165	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429164	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429167	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429166	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429169	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429168	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_417192	Human	North America / USA / Minnesota	US	USA	USA	Minnesota	Northern America	North America
EPI_ISL_417193	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_417190	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_417191	Human	North America / USA / Minnesota	US	USA	USA	Minnesota	Northern America	North America
EPI_ISL_419720	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_419724	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_419723	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_419722	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
