country	freq	freq_PD_0	freq_PD_1	freq_PD_2	freq_PD_3	freq_PD_4	freq_G_0	freq_G_1	freq_G_2	freq_G_3	freq_G_4
New Zealand	0.0004278106817088528	0.010159269536999983	0.009893690784333387	0.009981042453165471	0.009868795362674074	0.009901050997327117	0.006216494113027065	0.006196047546758498	0.006059173589454544	0.0061642160349155125	0.0039373986504617035
Pakistan	0.00457301659767565	0.002031143544544137	0.0019785384782123406	0.001996965764122033	0.001974087901237812	0.0019784107886415556	0.004143492147288728	0.004128860425757888	0.004040444568328073	0.00410958866887116	0.0039352191201422635
Peru	0.008291177831363693	0.0020319196195430636	0.001979303142074917	0.001998861957930983	0.0019736686512735464	0.0019791311282826647	0.002071591266421536	0.0020649218830829743	0.002019664057946368	0.0020544625553745874	0.001967652565388395
Poland	0.004171632896305125	0.0122052282774724	0.013863877913122434	0.013991169999912133	0.013828125252299973	0.013872082618553144	0.012457248055572552	0.012419700950189336	0.016174784254050636	0.016454906030387195	0.013794920711711438
Portugal	0.00891278636888694	0.022425338776662484	0.02185677269981254	0.022072442598314437	0.02378728824443052	0.02187725989082955	0.029144029068793813	0.029020638876020324	0.028391029577220006	0.03090683185173863	0.027651891890474095
Qatar	0.0032650725707860074	0.002031029666758874	5.850252802556962e-09	5.747271129729162e-09	0.0019824549157769996	0.0019752112416695825	0.002075072533430559	4.077032944429915e-09	4.03935008542249e-09	6.159273751702561e-09	0.001979054192035239
Russia	0.026282206446038403	0.03523029730535951	0.034355857307157144	0.034690654775703086	0.03432028767067449	0.03435950542888608	0.03401258359827852	0.0356914117990144	0.034970438008227536	0.033436911687525946	0.039931944277023866
Saudi Arabia	0.005784061696658098	0.004065022650990448	0.003958944859065606	0.00399809699539458	0.003949007487899918	0.0039620199008045046	0.004146006237579749	0.004132919656803356	0.004042739364838793	0.004111756007481157	0.003937182546952683
Senegal	0.00020873484470127556	0.008127452146462148	0.009893840272324943	0.00998152491904157	0.007902458813923775	0.009901226591678648	0.0062164049071484215	0.004132464309761052	0.004044768219544897	0.006164292151478876	0.003937580981395791
Singapore	0.004281170814808914	0.014240876849728232	0.013880141093719907	0.01400424422059865	0.01581187053911605	0.013888605352710165	0.010396141994576735	0.010361210039409692	0.009744169401558736	0.010304280573940418	0.01379617714639137
Slovakia	0.0005208796124655684	0.008122621296108584	0.007912855663842623	0.007986407382920115	0.007896780982859111	0.00791806524437898	0.006216264047034393	0.006196268266103266	0.00605939881858192	0.006164347282924707	0.005902996940276605
Slovenia	0.0005258586087611951	0.006097597255295779	0.0059413518542851965	0.005995671193540688	0.005925169468327387	0.005944436794920028	0.006216448191268301	0.0041333354073222394	0.0060599978333326626	0.006164193081993415	0.005903254650178221
Sweden	0.00672815599425194	0.014314986509051887	0.013953485741205075	0.014073392396088232	0.015875582448533827	0.013962129398918	0.02076673294331376	0.024834865506601616	0.016239644817657935	0.022677923912989364	0.021773728642349145
Thailand	0.001093081186747597	0.008127374512606578	0.007916896921079136	0.007992008850726273	0.007902564392844296	0.007923764959460336	0.006216225857552169	0.006197109980701966	0.004042884530776664	0.006164369710958547	0.005903242675257825
Turkey	0.04018126610513802	0.018451162828650614	0.017989428198311324	0.020150795050602865	0.019931741407949167	0.019979593845869056	0.020970681604601624	0.01879652328337119	0.020455107410874238	0.01664823561820148	0.02190811806033705
Taiwan	0.00016392387804063473	0.00813767936568045	0.007926886279532292	0.008005040741437484	0.007913674201723323	0.007933097081125252	0.006216143443869449	0.0061972019741278654	0.0060601039311928865	0.006164348323096456	0.0039470663845663865
Uruguay	0.00021562883957214332	0.006126575685907381	0.005968394749996315	0.00602128165348754	0.005951397622586822	0.005971462269840639	0.004145681570251757	0.002066455198578197	0.002034216795103476	0.0020706887974544	0.0039386479357410974
USA	0.34107043824359395	0.16827345926096285	0.17537103618680644	0.17095560799872664	0.17125338018416264	0.1710287707049077	0.17674559111171045	0.17048853844448358	0.18278910823788005	0.1777139985807616	0.1718339104804079
Vietnam	0.00010340992306301724	0.006006473408552272	0.005850252802556962	0.005747271129729162	0.0058428498954575005	0.005840757128847091	0.006151388813747845	0.004077032944429915	0.00403935008542249	0.006159273751702562	0.005890685579782087
South Africa	0.0016162587975034547	0.006103774326260609	0.005946685726191803	0.006000514098224324	0.005930604044405726	0.005950020904012135	0.0062215855379923616	0.00620225248639933	0.006064363305166847	0.00617007646026563	0.007870993308498149
